from,to,weight,relation
Casillas,Reina,0,no
Casillas,Valdés,0,no
Casillas,Arbeloa,2,no
Casillas,Capdevilla,0,no
Casillas,Marchena,0,no
Casillas,Piqué,0,no
Casillas,Puyol,0,no
Casillas,Albiol,1,yes
Casillas,Ramos,4,yes
Casillas,Busquets,0,no
Casillas,Fábregas,0,no
Casillas,Silva,0,no
Casillas,Iniesta,0,no
Casillas,Martinez,0,no
Casillas,Navas,0,no
Casillas,Alonso,1,yes
Casillas,Xavi,0,no
Casillas,Villa,0,no
Casillas,Torres,0,no
Casillas,Llorrente,0,no
Casillas,Mata,0,no
Casillas,Pedro,0,no
Reina,Valdés,1,no
Reina,Arbeloa,3,yes
Reina,Capdevilla,0,no
Reina,Marchena,0,no
Reina,Piqué,0,no
Reina,Puyol,3,no
Reina,Albiol,0,no
Reina,Ramos,0,no
Reina,Busquets,0,no
Reina,Fábregas,0,no
Reina,Silva,0,no
Reina,Iniesta,1,no
Reina,Martinez,0,no
Reina,Navas,0,no
Reina,Alonso,4,no
Reina,Xavi,3,no
Reina,Villa,0,no
Reina,Torres,3,yes
Reina,Llorrente,0,no
Reina,Mata,0,no
Reina,Pedro,0,no
Valdés,Arbeloa,0,no
Valdés,Capdevilla,0,no
Valdés,Marchena,0,no
Valdés,Piqué,2,yes
Valdés,Puyol,10,yes
Valdés,Albiol,0,no
Valdés,Ramos,0,no
Valdés,Busquets,2,yes
Valdés,Fábregas,0,no
Valdés,Silva,0,no
Valdés,Iniesta,10,yes
Valdés,Martinez,0,no
Valdés,Navas,0,no
Valdés,Alonso,0,no
Valdés,Xavi,10,yes
Valdés,Villa,0,no
Valdés,Torres,0,no
Valdés,Llorrente,0,no
Valdés,Mata,0,no
Valdés,Pedro,3,yes
Arbeloa,Capdevilla,1,no
Arbeloa,Marchena,0,no
Arbeloa,Piqué,0,no
Arbeloa,Puyol,0,no
Arbeloa,Albiol,0,no
Arbeloa,Ramos,0,no
Arbeloa,Busquets,0,no
Arbeloa,Fábregas,0,no
Arbeloa,Silva,0,no
Arbeloa,Iniesta,0,no
Arbeloa,Martinez,0,no
Arbeloa,Navas,0,no
Arbeloa,Alonso,2,no
Arbeloa,Xavi,0,no
Arbeloa,Villa,0,no
Arbeloa,Torres,3,yes
Arbeloa,Llorrente,0,no
Arbeloa,Mata,0,no
Arbeloa,Pedro,0,no
Capdevilla,Marchena,0,no
Capdevilla,Piqué,0,no
Capdevilla,Puyol,0,no
Capdevilla,Albiol,0,no
Capdevilla,Ramos,0,no
Capdevilla,Busquets,0,no
Capdevilla,Fábregas,0,no
Capdevilla,Silva,0,no
Capdevilla,Iniesta,0,no
Capdevilla,Martinez,0,no
Capdevilla,Navas,0,no
Capdevilla,Alonso,0,no
Capdevilla,Xavi,0,no
Capdevilla,Villa,0,no
Capdevilla,Torres,0,no
Capdevilla,Llorrente,0,no
Capdevilla,Mata,0,no
Capdevilla,Pedro,0,no
Marchena,Piqué,0,no
Marchena,Puyol,0,no
Marchena,Albiol,6,no
Marchena,Ramos,0,no
Marchena,Busquets,0,no
Marchena,Fábregas,0,no
Marchena,Silva,4,yes
Marchena,Iniesta,0,no
Marchena,Martinez,0,no
Marchena,Navas,0,no
Marchena,Alonso,0,no
Marchena,Xavi,0,no
Marchena,Villa,5,yes
Marchena,Torres,0,no
Marchena,Llorrente,0,no
Marchena,Mata,3,yes
Marchena,Pedro,0,no
Piqué,Puyol,2,yes
Piqué,Albiol,0,no
Piqué,Ramos,0,no
Piqué,Busquets,2,yes
Piqué,Fábregas,0,no
Piqué,Silva,0,no
Piqué,Iniesta,2,yes
Piqué,Martinez,0,no
Piqué,Navas,0,no
Piqué,Alonso,0,no
Piqué,Xavi,2,yes
Piqué,Villa,0,no
Piqué,Torres,0,no
Piqué,Llorrente,0,no
Piqué,Mata,0,no
Piqué,Pedro,2,yes
Puyol,Albiol,0,no
Puyol,Ramos,0,no
Puyol,Busquets,2,yes
Puyol,Fábregas,0,no
Puyol,Silva,0,no
Puyol,Iniesta,10,yes
Puyol,Martinez,0,no
Puyol,Navas,0,no
Puyol,Alonso,0,no
Puyol,Xavi,12,yes
Puyol,Villa,0,no
Puyol,Torres,0,no
Puyol,Llorrente,0,no
Puyol,Mata,0,no
Puyol,Pedro,3,yes
Albiol,Ramos,1,yes
Albiol,Busquets,0,no
Albiol,Fábregas,0,no
Albiol,Silva,3,no
Albiol,Iniesta,0,no
Albiol,Martinez,0,no
Albiol,Navas,0,no
Albiol,Alonso,1,yes
Albiol,Xavi,0,no
Albiol,Villa,4,no
Albiol,Torres,0,no
Albiol,Llorrente,0,no
Albiol,Mata,2,no
Albiol,Pedro,0,no
Ramos,Busquets,0,no
Ramos,Fábregas,0,no
Ramos,Silva,0,no
Ramos,Iniesta,0,no
Ramos,Martinez,0,no
Ramos,Navas,3,no
Ramos,Alonso,1,yes
Ramos,Xavi,0,no
Ramos,Villa,0,no
Ramos,Torres,0,no
Ramos,Llorrente,0,no
Ramos,Mata,0,no
Ramos,Pedro,0,no
Busquets,Fábregas,0,no
Busquets,Silva,0,no
Busquets,Iniesta,2,yes
Busquets,Martinez,0,no
Busquets,Navas,0,no
Busquets,Alonso,0,no
Busquets,Xavi,2,yes
Busquets,Villa,0,no
Busquets,Torres,0,no
Busquets,Llorrente,0,no
Busquets,Mata,0,no
Busquets,Pedro,2,yes
Fábregas,Silva,0,no
Fábregas,Iniesta,0,no
Fábregas,Martinez,0,no
Fábregas,Navas,0,no
Fábregas,Alonso,0,no
Fábregas,Xavi,0,no
Fábregas,Villa,0,no
Fábregas,Torres,0,no
Fábregas,Llorrente,0,no
Fábregas,Mata,0,no
Fábregas,Pedro,0,no
Silva,Iniesta,0,no
Silva,Martinez,0,no
Silva,Navas,0,no
Silva,Alonso,0,no
Silva,Xavi,0,no
Silva,Villa,4,yes
Silva,Torres,0,no
Silva,Llorrente,0,no
Silva,Mata,3,yes
Silva,Pedro,0,no
Iniesta,Martinez,0,no
Iniesta,Navas,0,no
Iniesta,Alonso,0,no
Iniesta,Xavi,10,yes
Iniesta,Villa,0,no
Iniesta,Torres,0,no
Iniesta,Llorrente,0,no
Iniesta,Mata,0,no
Iniesta,Pedro,3,yes
Martinez,Navas,0,no
Martinez,Alonso,0,no
Martinez,Xavi,0,no
Martinez,Villa,0,no
Martinez,Torres,0,no
Martinez,Llorrente,6,yes
Martinez,Mata,0,no
Martinez,Pedro,0,no
Navas,Alonso,0,no
Navas,Xavi,0,no
Navas,Villa,0,no
Navas,Torres,0,no
Navas,Llorrente,0,no
Navas,Mata,0,no
Navas,Pedro,0,no
Alonso,Xavi,0,no
Alonso,Villa,0,no
Alonso,Torres,2,no
Alonso,Llorrente,0,no
Alonso,Mata,0,no
Alonso,Pedro,0,no
Xavi,Villa,0,no
Xavi,Torres,0,no
Xavi,Llorrente,0,no
Xavi,Mata,0,no
Xavi,Pedro,3,yes
Villa,Torres,0,no
Villa,Llorrente,0,no
Villa,Mata,3,yes
Villa,Pedro,0,no
Torres,Llorrente,0,no
Torres,Mata,0,no
Torres,Pedro,0,no
Llorrente,Mata,0,no
Llorrente,Pedro,0,no
Mata,Pedro,0,no
